panel zone shear distortion (rad),panel zone shear force (kN)
0.000864835,942.7273482
0.000876642,959.4336506
0.000897785,977.8222771
0.000917281,995.8431308
0.00093458,1014.099736
0.000949682,1032.365772
0.000966432,1050.264035
0.000982907,1066.97411
0.00100707,1084.881802
0.00101146,1088.578388
0.00102657,1103.260999
0.00102574,1085.362736
0.00102492,1067.0967
0.00102519,1049.189008
0.00102437,1030.932402
0.00102409,1012.911548
0.00102492,994.6455125
0.00102492,976.7472495
0.00102492,958.4812143
0.00102492,940.102018
0.00101943,922.0792782
0.00100597,903.4596151
0.000990321,885.1982949
0.000972198,866.8172126
0.000953526,848.3163686
0.000934305,830.2936288
0.000918928,811.9134895
0.000899707,793.2938264
0.000881585,774.9127441
0.000863462,756.8900043
0.000843692,738.1505795
0.000829413,720.0090211
0.000810192,701.3893579
0.000794541,683.0082761
0.000775869,665.1043549
0.000756374,646.9627965
0.000740448,628.9400567
0.000724796,610.5589744
0.000703653,592.059073
0.000690199,574.0363332
0.000670154,555.8938317
0.000654502,537.7513302
0.000638576,519.7285904
0.00061606,501.2286889
0.000596016,482.728788
0.000577344,463.9893632
0.00056032,445.6082809
0.000541648,427.5855413
0.000524898,408.9658783
0.000504716,390.5847961
0.000477312,372.5620563
0.000461084,354.3007359
0.00044244,336.3977579
0.000427036,318.2552563
0.000411329,299.7553551
0.000395678,281.6128535
0.000375963,263.7098755
0.000354298,245.2090315
0.000338784,227.3060534
0.000323434,208.5666287
0.000303719,190.4250701
0.000282109,172.4023303
0.000261845,154.1400669
0.000239878,136.1173271
0.000217856,117.4976641
0.000196768,99.60600225
0.000180403,81.52394733
0.000159589,63.28629633
0.000144487,45.35898881
0.000131389,27.12133781
0.00012079,9.194020827
9.96E-05,-9.04004673
7.46E-05,-27.42451439
5.70E-05,-45.66216536
3.89E-05,-64.50852702
2.32E-05,-82.59095915
1.70E-06,-100.9837347
-1.52E-05,-119.22148
-3.46E-05,-137.3281474
-5.03E-05,-155.3508872
-6.63E-05,-173.4924458
-8.28E-05,-191.5151856
-0.000103876,-209.6576872
-0.000120782,-227.9190077
-0.000138075,-245.584348
-0.000154152,-264.2040109
