Total story drift angle (rad),Force in the actuator (kN)
-0.020793893,-979.7641342
-0.024,-1016.736366
-0.028030534,-1067.573184
-0.030503817,-1095.302358
-0.033068702,-1127.65306
-0.035450382,-1141.517647
-0.038381679,-1150.760705
-0.040580153,-1169.246821
-0.042045802,-1173.86835
-0.044152672,-1178.489878
-0.045618321,-1183.111407
-0.047083969,-1183.111407
-0.048732824,-1183.111407
-0.050473282,-1183.111407
-0.051664122,-1187.732936
-0.051847328,-1164.625292
-0.051755725,-1141.517647
-0.050473282,-1025.979424
-0.047816794,-808.7675636
-0.044885496,-568.448059
-0.042778626,-420.5591331
-0.039847328,-231.0764468
-0.038381679,-152.5104549
-0.035633588,-18.48611574
-0.033984733,41.59376042
-0.031328244,134.0243391
-0.028671756,217.2118599
-0.026748092,281.913265
-0.024732824,337.3716123
-0.022442748,388.2084305
-0.020244275,439.0452488
-0.018412214,476.0174803
-0.016580153,503.7466539
-0.014290076,531.4758275
-0.012458015,545.3404143
-0.010351145,554.5834722
-0.008335878,559.2050011
-0.006229008,573.0695879
-0.00329771,586.9341748
3.66E-04,610.0418194
0.00210687,610.0418194
0.006320611,642.392522
0.008977099,665.5001666
0.010900763,683.9862824
0.013007634,702.4723981
0.014931298,730.2015717
0.017221374,762.5522743
0.019419847,790.2814479
0.021160305,822.6321504
0.023908397,868.8474398
0.026198473,901.1981423
0.02821374,928.9273159
0.03059542,952.0349606
0.032335878,961.2780185
0.034351145,979.7641342
0.036274809,984.3856632
0.038656489,998.25025
0.041312977,1007.493308
0.04351145,1021.357895
0.045343511,1025.979424
0.048,1025.979424
0.050015267,1039.84401
0.051114504,1039.84401
0.052854962,1039.84401
0.05340458,1016.736366
0.053496183,970.5210764
0.052854962,887.3335555
0.050290076,716.3369849
0.046625954,499.125125
0.044610687,365.1007859
0.041862595,212.590331
0.040122137,129.4028102
0.036916031,-18.48611574
0.03270229,-184.8611574
0.029862595,-272.6702072
0.026656489,-351.2361991
0.023725191,-420.5591331
0.020977099,-476.0174803
0.019236641,-503.7466539
0.01621374,-531.4758275
0.014381679,-536.0973565
0.011541985,-559.2050011
0.010076336,-568.448059
0.008610687,-573.0695879
0.005221374,-596.1772326
0.00329771,-610.0418194
