Total story drift angle (rad),Force in the actuator (kN)
-0.032471358,-1454.962609
-0.03391162,-1441.449025
-0.035090016,-1418.926384
-0.035744681,-1373.881102
-0.036399345,-1319.826763
-0.03705401,-1265.772425
-0.038101473,-1216.222615
-0.038625205,-1193.699974
-0.039279869,-1189.195445
-0.039934534,-1198.204502
-0.040458265,-1220.727143
-0.041898527,-1265.772425
-0.043207856,-1297.304122
-0.045040917,-1319.826763
-0.046743044,-1328.83582
-0.048314239,-1342.349404
-0.049099836,-1355.862989
-0.049885434,-1364.872045
-0.050278232,-1324.331292
-0.049230769,-1202.70903
-0.047790507,-1040.546015
-0.045957447,-824.3286611
-0.043993453,-635.1384766
-0.042291326,-472.9754613
-0.040458265,-328.8305588
-0.039279869,-225.2264101
-0.037708674,-85.58603585
-0.035875614,54.05433843
-0.033649755,202.7037691
-0.031423895,328.8305588
-0.029721768,436.9392356
-0.027626841,531.5343279
-0.025139116,630.6339484
-0.022389525,734.238097
-0.019509002,815.3196047
-0.016628478,905.4101687
-0.014402619,963.9690353
-0.010736498,1031.536958
-0.007201309,1090.095825
-0.003797054,1144.150163
-3.93E-04,1184.690917
0.002749591,1216.222615
0.005630115,1252.25884
0.014402619,1306.313179
0.019509002,1333.340348
0.025008183,1364.872045
0.029198036,1382.890158
0.035090016,1409.917327
0.040458265,1427.93544
0.043469722,1441.449025
0.047135843,1450.458081
0.048968903,1468.476194
0.0501473,1454.962609
0.047659574,1153.15922
0.045695581,923.4282815
0.043993453,716.2199842
0.042291326,518.0207433
0.040327332,324.3260306
0.038232406,135.1358461
0.036006547,-36.03622562
0.034435352,-126.1267897
0.03299509,-211.7128255
0.031292962,-292.7943332
0.029459902,-414.4165946
0.027364975,-509.0116869
0.024615385,-630.6339484
0.02212766,-716.2199842
0.019247136,-806.3105483
0.016497545,-891.8965841
0.014140753,-950.4554507
0.01086743,-1004.509789
0.009296236,-1040.546015
0.007070376,-1076.58224
0.004713584,-1108.113938
0.001309329,-1139.645635
-7.86E-04,-1144.150163
-0.002487725,-1139.645635
-0.004189853,-1103.60941
-0.006415712,-1049.555071
-0.007855974,-1013.518846
-0.0099509,-986.4916764
-0.012831424,-968.4735635
-0.015842881,-941.4463943
-0.022389525,-905.4101687
-0.026579378,-891.8965841
-0.028150573,-878.3829995
-0.0298527,-869.3739431
-0.031423895,-855.8603585
-0.037184943,-846.8513021
-0.040458265,-842.3467739
-0.042553191,-833.3377175
-0.044517185,-824.3286611
-0.046350245,-819.8241329
-0.047397709,-815.3196047
-0.048445172,-815.3196047
-0.049230769,-833.3377175
-0.050932897,-837.8422457
-0.051194763,-806.3105483
-0.050801964,-743.2471534
-0.046481178,-468.4709331
-0.043207856,-274.7762204
-0.040327332,-117.1177333
-0.037577741,18.01811281
-0.034042553,144.1449025
-0.031685761,238.7399947
-0.027757774,351.3531998
-0.025139116,418.9211228
-0.021603928,495.4981023
-0.01898527,545.0479125
-0.015711948,599.1022509
-0.012831424,648.6520612
-0.00903437,693.6973432
-0.006415712,720.7245124
-0.003273322,743.2471534
2.62E-04,774.7788508
0.00405892,801.8060201
0.006939444,837.8422457
0.010212766,860.3648867
0.013224223,882.8875277
0.015842881,914.4192251
0.017021277,923.4282815
0.01806874,927.9328097
0.020556465,941.4463943
0.022389525,977.4826199
0.025924714,1031.536958
0.032733224,1157.663748
0.03797054,1247.754312
0.043600655,1342.349404
0.047397709,1391.899215
0.049361702,1405.412799
0.051849427,1405.412799
0.053158756,1414.421856
0.055384615,1436.944497
0.057217676,1463.971666
0.059050736,1481.989779
0.060229133,1490.998835
0.060490998,1454.962609
0.060229133,1378.38563
0.058527005,1184.690917
0.054599018,783.7879072
0.05289689,599.1022509
0.050016367,337.8396152
0.047528642,171.1720717
0.044909984,18.01811281
0.042422259,-108.1086769
0.040458265,-180.1811281
0.039018003,-229.7309383
0.038363339,-270.2716922
0.036399345,-346.8486716
0.033780687,-418.9211228
0.031423895,-481.9845177
0.027757774,-563.0660253
0.026055646,-603.6067791
0.022651391,-653.1565894
0.019247136,-698.2018714
0.015319149,-734.238097
0.011914894,-761.2652662
0.009296236,-765.7697944
0.004451718,-783.7879072
0.001047463,-783.7879072
-0.001702128,-783.7879072
-0.008772504,-779.283379
-0.01086743,-779.283379
-0.015450082,-765.7697944
-0.018854337,-752.2562098
-0.021603928,-734.238097
-0.027757774,-698.2018714
-0.03613748,-671.1747022
-0.040720131,-639.6430048
-0.046350245,-608.1113073
-0.050016367,-590.0931945
-0.053420622,-581.0841381
-0.055384615,-581.0841381
-0.057610475,-585.5886663
-0.059967267,-581.0841381
-0.061145663,-567.5705535
-0.06193126,-540.5433843
-0.06193126,-513.5162151
-0.060883797,-463.9664049
-0.058265139,-382.8848972
-0.05512275,-288.289805
-0.051849427,-175.6765999
-0.048837971,-81.08150765
-0.046219313,-18.01811281
-0.043469722,49.54981023
-0.039279869,126.1267897
-0.035875614,180.1811281
-0.03299509,229.7309383
-0.029459902,283.7852768
-0.02710311,301.8033896
-0.023306056,351.3531998
-0.019509002,387.3894254
-0.015450082,418.9211228
-0.010998363,468.4709331
-0.007986907,486.4890459
-0.003666121,522.5252715
0.001309329,558.5614971
