Total story drift angle (rad),Force in the actuator (kN)
0.006985351,-884.3801524
0.003284503,-984.3993363
0.0015266,-1026.512677
-0.001804163,-1068.626018
-0.003932151,-1110.739358
-0.005875096,-1137.060196
-0.009113338,-1152.852699
-0.011888975,-1179.173537
-0.016052429,-1205.494374
-0.02003084,-1231.815212
-0.024194295,-1237.07938
-0.02845027,-1247.607715
-0.030855821,-1242.343547
-0.032521203,-1226.551045
-0.035204318,-1216.02271
-0.037239784,-1210.758542
-0.039182729,-1210.758542
-0.039737857,-1205.494374
-0.039737857,-1126.531861
-0.039830378,-910.7009903
-0.039552814,-773.8326334
-0.038720123,-610.6434386
-0.038072475,-463.2467465
-0.036684657,-352.6992275
-0.033631457,-115.8116866
-0.030855821,52.64167574
-0.028727833,173.7175299
-0.026044719,279.0008814
-0.022991519,405.3409032
-0.020215883,500.0959195
-0.017255204,589.5867683
-0.014387047,689.6059522
-0.011148805,779.0968009
-0.00846569,837.0026443
-0.004487278,905.4368227
-0.0015266,963.342666
0.002359291,1010.720174
0.006337702,1058.097682
0.009483423,1084.41852
0.011703932,1089.682688
0.014757132,1100.211023
0.017995374,1105.475191
0.021418658,1121.267693
0.024471858,1131.796028
0.027617579,1137.060196
0.030485736,1147.588531
0.033261372,1147.588531
0.035666924,1131.796028
0.037332305,1126.531861
0.039182729,1116.003526
0.040940632,1116.003526
0.041865844,1100.211023
0.042050887,1052.833515
0.041958365,952.8143309
0.041865844,852.795147
0.041310717,789.6251361
0.039367772,626.4359413
0.037332305,468.5109141
0.034371627,247.415876
0.03150347,42.11334059
0.029468003,-84.22668118
0.026692367,-221.0950381
0.024101773,-342.1708923
0.021418658,-431.6617411
0.019013107,-526.4167574
0.015867386,-626.4359413
0.013739399,-668.5492819
0.010038551,-715.9267901
0.006060139,-773.8326334
0.003747109,-810.6818064
-0.001249036,-879.1159849
-0.004487278,-921.2293254
-0.00920586,-968.6068336
-0.012629144,-994.9276715
-0.014942174,-1005.456007
-0.019383192,-1042.30518
-0.022806476,-1063.36185
-0.026599846,-1058.097682
-0.030948342,-1079.154353
-0.034371627,-1079.154353
-0.038350039,-1100.211023
-0.040385505,-1105.475191
-0.041125675,-1100.211023
-0.041588281,-1073.890185
-0.041773323,-973.8710012
-0.041773323,-858.0593146
-0.041125675,-605.379271
-0.039922899,-394.812568
-0.038997687,-305.3217193
-0.036592136,-157.9250272
-0.034279106,-21.0566703
-0.031410948,115.8116866
-0.028912876,226.3592057
-0.026877409,273.7367138
-0.024194295,342.1708923
-0.021141095,436.9259086
-0.018272938,510.6242547
-0.016052429,558.0017628
-0.013369314,610.6434386
-0.011056284,647.4926116
-0.008095605,679.077617
-0.005782575,705.3984549
-0.00309946,731.7192928
1.39E-04,758.0401307
0.002544333,773.8326334
0.005319969,810.6818064
0.008558211,847.5309794
0.01077872,858.0593146
